OBJECTID,MUID,SEQN,SNAM,S5ID,CMPPCT,NLAYERS,HYDGRP,SOL_ZMX,ANION_EXCL,SOL_CRK,TEXTURE,SOL_Z1,SOL_BD1,SOL_AWC1,SOL_K1,SOL_CBN1,CLAY1,SILT1,SAND1,ROCK1,SOL_ALB1,USLE_K1,SOL_EC1,SOL_CAL1,SOL_PH1,SOL_Z2,SOL_BD2,SOL_AWC2,SOL_K2,SOL_CBN2,CLAY2,SILT2,SAND2,ROCK2,SOL_ALB2,USLE_K2,SOL_EC2,SOL_CAL2,SOL_PH2,SOL_Z3,SOL_BD3,SOL_AWC3,SOL_K3,SOL_CBN3,CLAY3,SILT3,SAND3,ROCK3,SOL_ALB3,USLE_K3,SOL_EC3,SOL_CAL3,SOL_PH3,SOL_Z4,SOL_BD4,SOL_AWC4,SOL_K4,SOL_CBN4,CLAY4,SILT4,SAND4,ROCK4,SOL_ALB4,USLE_K4,SOL_EC4,SOL_CAL4,SOL_PH4,SOL_Z5,SOL_BD5,SOL_AWC5,SOL_K5,SOL_CBN5,CLAY5,SILT5,SAND5,ROCK5,SOL_ALB5,USLE_K5,SOL_EC5,SOL_CAL5,SOL_PH5,SOL_Z6,SOL_BD6,SOL_AWC6,SOL_K6,SOL_CBN6,CLAY6,SILT6,SAND6,ROCK6,SOL_ALB6,USLE_K6,SOL_EC6,SOL_CAL6,SOL_PH6,SOL_Z7,SOL_BD7,SOL_AWC7,SOL_K7,SOL_CBN7,CLAY7,SILT7,SAND7,ROCK7,SOL_ALB7,USLE_K7,SOL_EC7,SOL_CAL7,SOL_PH7,SOL_Z8,SOL_BD8,SOL_AWC8,SOL_K8,SOL_CBN8,CLAY8,SILT8,SAND8,ROCK8,SOL_ALB8,USLE_K8,SOL_EC8,SOL_CAL8,SOL_PH8,SOL_Z9,SOL_BD9,SOL_AWC9,SOL_K9,SOL_CBN9,CLAY9,SILT9,SAND9,ROCK9,SOL_ALB9,USLE_K9,SOL_EC9,SOL_CAL9,SOL_PH9,SOL_Z10,SOL_BD10,SOL_AWC10,SOL_K10,SOL_CBN10,CLAY10,SILT10,SAND10,ROCK10,SOL_ALB10,USLE_K10,SOL_EC10,SOL_CAL10,SOL_PH10
11,,1,Emt_Emt_Emt_7_>100cm_60-100cm_Y_B,,1,3,B,1500,0.5,0.5,,250,0.65,0.29,1.45,17.7,50,0,0,0,0.01,0.01,0,0,0,750,0.36,0.47,2.1,40.1,50,0,0,0,0.01,0.01,0,0,0,1500,0.15,0.65,2.2,46.3,50,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,,1,Emt_Emt_Emt_7_>100cm_60-100cm_Y_D,,1,3,D,1500,0.5,0.5,,250,0.65,0.29,1.45,17.7,50,0,0,0,0.01,0.01,0,0,0,750,0.36,0.47,2.1,40.1,50,0,0,0,0.01,0.01,0,0,0,1500,0.15,0.65,2.2,46.3,50,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,,1,Emt_Emt_Emt_7_>100cm_<60cm_N_A,,1,3,A,1500,0.5,0.5,,250,0.65,0.29,1.45,17.7,50,0,0,0,0.01,0.01,0,0,0,750,0.36,0.47,2.1,40.1,50,0,0,0,0.01,0.01,0,0,0,1500,0.15,0.65,2.2,46.3,50,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,,1,Emt_Emt_Emt_7_>100cm_<60cm_N_B,,1,3,B,1500,0.5,0.5,,250,0.65,0.29,1.45,17.7,50,0,0,0,0.01,0.01,0,0,0,750,0.36,0.47,2.1,40.1,50,0,0,0,0.01,0.01,0,0,0,1500,0.15,0.65,2.2,46.3,50,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,,1,Emt_Emt_Emt_7_>100cm_<60cm_N_C,,1,3,C,1500,0.5,0.5,,250,0.65,0.29,1.45,17.7,50,0,0,0,0.01,0.01,0,0,0,750,0.36,0.47,2.1,40.1,50,0,0,0,0.01,0.01,0,0,0,1500,0.15,0.65,2.2,46.3,50,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,,1,Emt_Emt_Emt_7_>100cm_<60cm_N_D,,1,3,D,1500,0.5,0.5,,250,0.65,0.29,1.45,17.7,50,0,0,0,0.01,0.01,0,0,0,750,0.36,0.47,2.1,40.1,50,0,0,0,0.01,0.01,0,0,0,1500,0.15,0.65,2.2,46.3,50,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,,1,Emt_Emt_Emt_7_>100cm_<60cm_Y_A,,1,3,A,1500,0.5,0.5,,250,0.65,0.29,1.45,17.7,50,0,0,0,0.01,0.01,0,0,0,750,0.36,0.47,2.1,40.1,50,0,0,0,0.01,0.01,0,0,0,1500,0.15,0.65,2.2,46.3,50,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,,1,Emt_Emt_Emt_7_>100cm_<60cm_Y_C,,1,3,C,1500,0.5,0.5,,250,0.65,0.29,1.45,17.7,50,0,0,0,0.01,0.01,0,0,0,750,0.36,0.47,2.1,40.1,50,0,0,0,0.01,0.01,0,0,0,1500,0.15,0.65,2.2,46.3,50,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,,1,Emt_Emt_Emt_7_>100cm_<60cm_Y_D,,1,3,D,1500,0.5,0.5,,250,0.65,0.29,1.45,17.7,50,0,0,0,0.01,0.01,0,0,0,750,0.36,0.47,2.1,40.1,50,0,0,0,0.01,0.01,0,0,0,1500,0.15,0.65,2.2,46.3,50,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,,1,Emt_Emt_Emt_7_>100cm_>100cm_N_A,,1,3,A,1500,0.5,0.5,,250,0.65,0.29,1.45,17.7,50,0,0,0,0.01,0.01,0,0,0,750,0.36,0.47,2.1,40.1,50,0,0,0,0.01,0.01,0,0,0,1500,0.15,0.65,2.2,46.3,50,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,,1,Emt_Emt_Emt_7_>100cm_>100cm_N_B,,1,3,B,1500,0.5,0.5,,250,0.65,0.29,1.45,17.7,50,0,0,0,0.01,0.01,0,0,0,750,0.36,0.47,2.1,40.1,50,0,0,0,0.01,0.01,0,0,0,1500,0.15,0.65,2.2,46.3,50,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,,1,Emt_Emt_Emt_7_>100cm_>100cm_N_C,,1,3,C,1500,0.5,0.5,,250,0.65,0.29,1.45,17.7,50,0,0,0,0.01,0.01,0,0,0,750,0.36,0.47,2.1,40.1,50,0,0,0,0.01,0.01,0,0,0,1500,0.15,0.65,2.2,46.3,50,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,,1,Emt_Emt_Emt_7_>100cm_>100cm_N_D,,1,3,D,1500,0.5,0.5,,250,0.65,0.29,1.45,17.7,50,0,0,0,0.01,0.01,0,0,0,750,0.36,0.47,2.1,40.1,50,0,0,0,0.01,0.01,0,0,0,1500,0.15,0.65,2.2,46.3,50,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,,1,Emt_Emt_Emt_7_>100cm_>100cm_Y_A,,1,3,A,1500,0.5,0.5,,250,0.65,0.29,1.45,17.7,50,0,0,0,0.01,0.01,0,0,0,750,0.36,0.47,2.1,40.1,50,0,0,0,0.01,0.01,0,0,0,1500,0.15,0.65,2.2,46.3,50,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,,1,Emt_Emt_Emt_7_>100cm_>100cm_Y_B,,1,3,B,1500,0.5,0.5,,250,0.65,0.29,1.45,17.7,50,0,0,0,0.01,0.01,0,0,0,750,0.36,0.47,2.1,40.1,50,0,0,0,0.01,0.01,0,0,0,1500,0.15,0.65,2.2,46.3,50,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,,1,Emt_Emt_Emt_7_>100cm_>100cm_Y_C,,1,3,C,1500,0.5,0.5,,250,0.65,0.29,1.45,17.7,50,0,0,0,0.01,0.01,0,0,0,750,0.36,0.47,2.1,40.1,50,0,0,0,0.01,0.01,0,0,0,1500,0.15,0.65,2.2,46.3,50,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,,1,LS1_LS1_S1_4_>100cm_60-100cm_N_A,,1,3,A,1500,0.5,0.5,,250,1.47411320295284,0.158000524870268,15.8675912261245,0.831395348837209,2.465,10.33,87.205,0,0.17145763469729,0.120408077969782,0,0,0,750,1.55376355830878,0.146531978771383,14.3095322551527,0.412790697674419,2.465,10.33,87.205,0,0.180672249453578,0.125368964808179,0,0,0,1500,1.64838281202893,0.0984838376005874,13.5701486443436,0.0755813953488372,1.1505,3.457,95.3925,0,0.209984638319882,0.0923513756138831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,,1,LS1_LS1_S1_4_>100cm_60-100cm_Y_A,,1,3,A,1500,0.5,0.5,,250,1.47411320295284,0.158000524870268,15.8675912261245,0.831395348837209,2.465,10.33,87.205,0,0.17145763469729,0.120408077969782,0,0,0,750,1.55376355830878,0.146531978771383,14.3095322551527,0.412790697674419,2.465,10.33,87.205,0,0.180672249453578,0.125368964808179,0,0,0,1500,1.64838281202893,0.0984838376005874,13.5701486443436,0.0755813953488372,1.1505,3.457,95.3925,0,0.209984638319882,0.0923513756138831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,,1,LS1_LS1_S1_4_>100cm_>100cm_N_A,,1,3,A,1500,0.5,0.5,,250,1.47411320295284,0.158000524870268,15.8675912261245,0.831395348837209,2.465,10.33,87.205,0,0.17145763469729,0.120408077969782,0,0,0,750,1.55376355830878,0.146531978771383,14.3095322551527,0.412790697674419,2.465,10.33,87.205,0,0.180672249453578,0.125368964808179,0,0,0,1500,1.64838281202893,0.0984838376005874,13.5701486443436,0.0755813953488372,1.1505,3.457,95.3925,0,0.209984638319882,0.0923513756138831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,,1,LS1_LS1_S1_4_>100cm_>100cm_Y_A,,1,3,A,1500,0.5,0.5,,250,1.47411320295284,0.158000524870268,15.8675912261245,0.831395348837209,2.465,10.33,87.205,0,0.17145763469729,0.120408077969782,0,0,0,750,1.55376355830878,0.146531978771383,14.3095322551527,0.412790697674419,2.465,10.33,87.205,0,0.180672249453578,0.125368964808179,0,0,0,1500,1.64838281202893,0.0984838376005874,13.5701486443436,0.0755813953488372,1.1505,3.457,95.3925,0,0.209984638319882,0.0923513756138831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
